Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-17 15:10:00,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"41,190.98",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,Winning Trades,,,109,,,,Total Trades,,,141
,Win Rate,,,77.30%,,,,Losing Trades,,,32
,Net P&L,,,"41,190.98",,,,Gross P&L,,,"41,190.95"
,Best Trade,,,"11,826.73",,,,Profit Factor,,,1.16
,Initial Capital,,,"100,000.00",,,,Worst Trade,,,"-13,936.71"
,Return %,,,41.19%,,,,Final Capital,,,"141,190.98"
,Return %,,,41.19%,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-17 09:16:18,2025-10-17 09:26:11,74.1,79.5,450,2430,22.87,2407.13,Take Profit 1,9
,2,2025-10-17 09:16:18,2025-10-17 09:26:46,74.1,86.45,375,4631.25,20.73,4610.52,Take Profit 2,10
,3,2025-10-17 09:16:18,2025-10-17 09:29:06,74.1,99.1,225,5625,14.26,5610.74,Take Profit 3,12
,4,2025-10-17 09:16:18,2025-10-17 09:29:39,74.1,95.45,225,4803.75,13.73,4790.02,Trailing Stop,13
,5,2025-10-17 09:29:51,2025-10-17 09:30:00,99.75,104.85,450,2295,30.17,2264.83,Take Profit 1,0
,6,2025-10-17 09:29:51,2025-10-17 09:30:28,99.75,97.6,675,-1451.25,42.12,-1493.37,Trailing Stop,0
,7,2025-10-17 09:30:46,2025-10-17 09:33:31,101.15,106.45,450,2385,30.63,2354.37,Take Profit 1,2
,8,2025-10-17 09:30:46,2025-10-17 09:40:08,101.15,113.45,300,3690,21.76,3668.24,Take Profit 2,9
,9,2025-10-17 09:30:46,2025-10-17 09:43:21,101.15,106.4,375,1968.75,25.51,1943.24,Trailing Stop,12
,10,2025-10-17 09:43:43,2025-10-17 09:49:00,109.1,99.05,1125,-11306.25,71.25,-11377.5,Stop Loss,5
,11,2025-10-17 09:50:56,2025-10-17 09:52:02,81.7,87.45,525,3018.75,29.36,2989.39,Take Profit 1,1
,12,2025-10-17 09:50:56,2025-10-17 09:53:24,81.7,94.05,375,4631.25,22.55,4608.7,Take Profit 2,2
,13,2025-10-17 09:50:56,2025-10-17 09:55:28,81.7,107.45,225,5793.75,15.46,5778.29,Take Profit 3,4
,14,2025-10-17 09:50:56,2025-10-17 09:56:13,81.7,100,225,4117.5,14.39,4103.11,Trailing Stop,5
,15,2025-10-17 09:57:01,2025-10-17 09:57:42,99.1,104.2,450,2295,29.98,2265.02,Take Profit 1,0
,16,2025-10-17 09:57:01,2025-10-17 10:02:19,99.1,111.15,375,4518.75,26.65,4492.1,Take Profit 2,5
,17,2025-10-17 09:57:01,2025-10-17 10:06:52,99.1,124.9,225,5805,17.97,5787.03,Take Profit 3,9
,18,2025-10-17 09:57:01,2025-10-17 10:13:33,99.1,149.85,225,11418.75,21.56,11397.19,Take Profit 4,16
,19,2025-10-17 10:13:35,2025-10-17 10:13:50,150.35,157,375,2493.75,37.64,2456.11,Take Profit 1,0
,20,2025-10-17 10:13:35,2025-10-17 10:13:58,150.35,150.35,600,0,57.68,-57.68,Trailing Stop,0
,21,2025-10-17 10:15:17,2025-10-17 10:17:08,150.9,156.35,375,2043.75,37.49,2006.26,Take Profit 1,1
,22,2025-10-17 10:15:17,2025-10-17 10:18:47,150.9,152.6,600,1020,58.54,961.46,Trailing Stop,3
,23,2025-10-17 10:20:00,2025-10-17 10:31:05,153,158.25,375,1968.75,37.94,1930.81,Take Profit 1,11
