Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,Mode: LIVE | Generated: 2025-10-20 10:14:23,,,,,,,
,,,,,,,,
,,,NET P&L,,,,,
,,,0.00,,,,,
,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,
,,Winning Trades,0,,,,Total Trades,0
,,Win Rate,0.00%,,,,Losing Trades,0
,,Net P&L,0.00,,,,Gross P&L,0.00
,,Best Trade,0.00,,,,Profit Factor,0.00
,,Initial Capital,"100,000.00",,,,Worst Trade,0.00
,,Return %,0.00%,,,,Final Capital,"100,000.00"
,,,,,,,,
,,,,,,,,
,DETAILED TRADES LOG,,,,,,,
,No trades executed during this forward test period,,,,,,,
