Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-31 16:38:57,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-20,851.04",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,42,,,,Total Trades,54,,,
,,Win Rate,77.78%,,,,Losing Trades,12,,,
,,Net P&L,"-20,851.04",,,,Gross P&L,"-20,851.07",,,
,,Best Trade,"2,045.40",,,,Profit Factor,0.60,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-6,839.63",,,
,,Return %,-20.85%,,,,Final Capital,"79,148.96",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-31 09:35:20,2025-10-31 09:40:45,328,313,300,-4500,60.04,-4560.04,Stop Loss,5
,2,2025-10-31 09:42:05,2025-10-31 09:42:32,323.95,330,75,453.75,15.83,437.92,Take Profit 1,0
,3,2025-10-31 09:42:05,2025-10-31 09:42:48,323.95,325,150,157.5,31.17,126.33,Trailing Stop,0
,4,2025-10-31 09:47:23,2025-10-31 09:47:54,310.2,315.35,75,386.25,15.12,371.13,Take Profit 1,0
,5,2025-10-31 09:47:23,2025-10-31 09:48:21,310.2,315.05,225,1091.25,45.32,1045.93,Trailing Stop,0
,6,2025-10-31 09:54:10,2025-10-31 09:54:40,301.7,306.8,75,382.5,14.71,367.79,Take Profit 1,0
,7,2025-10-31 09:54:10,2025-10-31 09:55:08,301.7,314,75,922.5,15.06,907.44,Take Profit 2,0
,8,2025-10-31 09:54:10,2025-10-31 09:55:23,301.7,310,150,1245,29.73,1215.27,Trailing Stop,1
,9,2025-10-31 09:58:53,2025-10-31 10:00:52,313,296.85,300,-4845,56.94,-4901.94,Stop Loss,1
,10,2025-10-31 10:06:18,2025-10-31 10:07:57,276.8,261.5,300,-4590,50.16,-4640.16,Stop Loss,1
,11,2025-10-31 10:16:49,2025-10-31 10:19:42,242,247,75,375,11.84,363.16,Take Profit 1,2
,12,2025-10-31 10:16:49,2025-10-31 10:20:02,242,242.9,225,202.5,34.94,167.56,Trailing Stop,3
,13,2025-10-31 10:24:47,2025-10-31 10:28:53,224.55,229.8,150,787.5,22.04,765.46,Take Profit 1,4
,14,2025-10-31 10:24:47,2025-10-31 10:29:56,224.55,224.8,225,56.25,32.34,23.91,Trailing Stop,5
,15,2025-10-31 10:33:57,2025-10-31 10:37:33,205,189.15,375,-5943.75,45.35,-5989.1,Stop Loss,3
,16,2025-10-31 10:39:23,2025-10-31 10:42:34,196.45,201.6,150,772.5,19.34,753.16,Take Profit 1,3
,17,2025-10-31 10:39:23,2025-10-31 10:45:30,196.45,209.45,75,975,10.04,964.96,Take Profit 2,6
,18,2025-10-31 10:39:23,2025-10-31 10:47:00,196.45,206.25,150,1470,19.78,1450.22,Trailing Stop,7
,19,2025-10-31 10:48:39,2025-10-31 10:55:25,211.15,195.95,375,-5700,46.98,-5746.98,Stop Loss,6
,20,2025-10-31 10:56:48,2025-10-31 11:00:26,202.7,186,375,-6262.5,44.6,-6307.1,Stop Loss,3
,21,2025-10-31 11:04:41,2025-10-31 11:19:19,176.8,181.8,150,750,17.44,732.56,Take Profit 1,14
,22,2025-10-31 11:04:41,2025-10-31 11:21:13,176.8,179.25,225,551.25,25.79,525.46,Trailing Stop,16
,23,2025-10-31 11:24:01,2025-10-31 11:34:39,183.5,189.15,150,847.5,18.14,829.36,Take Profit 1,10
,24,2025-10-31 11:24:01,2025-10-31 11:38:15,183.5,186,225,562.5,26.76,535.74,Trailing Stop,14
,25,2025-10-31 11:41:30,2025-10-31 11:44:17,190.65,195.7,150,757.5,18.77,738.73,Take Profit 1,2
,26,2025-10-31 11:41:30,2025-10-31 11:45:48,190.65,191.45,225,180,27.54,152.46,Trailing Stop,4
,27,2025-10-31 11:50:47,2025-10-31 11:51:47,182.8,188,150,780,18.03,761.97,Take Profit 1,0
,28,2025-10-31 11:50:47,2025-10-31 11:52:42,182.8,194.9,75,907.5,9.35,898.15,Take Profit 2,1
,29,2025-10-31 11:50:47,2025-10-31 11:53:02,182.8,198.65,75,1188.75,9.53,1179.22,Take Profit 3,2
,30,2025-10-31 11:50:47,2025-10-31 11:56:48,182.8,194,75,840,9.3,830.7,Trailing Stop,6
,31,2025-10-31 11:57:18,2025-10-31 11:59:46,197.15,202.4,150,787.5,19.41,768.09,Take Profit 1,2
,32,2025-10-31 11:57:18,2025-10-31 12:00:51,197.15,200.85,225,832.5,28.9,803.6,Trailing Stop,3
,33,2025-10-31 12:02:27,2025-10-31 12:12:28,204,209.2,150,780,20.06,759.94,Take Profit 1,10
