Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-29 15:10:02,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-28,879.08",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,34,,,,Total Trades,45,,,
,,Win Rate,75.56%,,,,Losing Trades,11,,,
,,Net P&L,"-28,879.08",,,,Gross P&L,"-28,879.06",,,
,,Best Trade,"2,910.51",,,,Profit Factor,0.50,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-8,038.66",,,
,,Return %,-28.88%,,,,Final Capital,"71,120.92",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-29 09:21:15,2025-10-29 09:21:43,178,183.15,150,772.5,17.57,754.93,Take Profit 1,0
,2,2025-10-29 09:21:15,2025-10-29 09:22:41,178,182.15,375,1556.25,43.68,1512.57,Trailing Stop,1
,3,2025-10-29 09:23:33,2025-10-29 09:24:31,190.7,175.55,525,-7953.75,58.93,-8012.68,Stop Loss,0
,4,2025-10-29 09:33:27,2025-10-29 09:35:03,165.85,171.05,150,780,16.41,763.59,Take Profit 1,1
,5,2025-10-29 09:33:27,2025-10-29 09:36:24,165.85,178.8,150,1942.5,17.15,1925.35,Take Profit 2,2
,6,2025-10-29 09:33:27,2025-10-29 09:36:45,165.85,178.9,225,2936.25,25.74,2910.51,Trailing Stop,3
,7,2025-10-29 09:38:49,2025-10-29 09:40:44,183.8,189,150,780,18.13,761.87,Take Profit 1,1
,8,2025-10-29 09:38:49,2025-10-29 09:41:19,183.8,184,375,75,44.12,30.88,Trailing Stop,2
,9,2025-10-29 09:41:57,2025-10-29 09:45:28,189.95,174.75,525,-7980,58.66,-8038.66,Stop Loss,3
,10,2025-10-29 09:48:00,2025-10-29 09:48:02,179.45,184.45,150,750,17.69,732.31,Take Profit 1,0
,11,2025-10-29 09:48:00,2025-10-29 09:48:16,179.45,179.45,300,0,34.42,-34.42,Trailing Stop,0
,12,2025-10-29 09:48:32,2025-10-29 09:48:40,188.8,194.7,150,885,18.67,866.33,Take Profit 1,0
,13,2025-10-29 09:48:32,2025-10-29 09:48:56,188.8,188.6,300,-60,36.18,-96.18,Trailing Stop,0
