Unnamed: 0,FORWARD TEST RESULTS DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Mode: LIVE | Generated: 2025-10-28 15:35:39,,,,,,,,,,
,,,,,,,,,,,
,,,NET P&L,,,,,,,,
,,,"-58,992.37",,,,,,,,
,,,,,,,,,,,
,PERFORMANCE SUMMARY,,,,,,,,,,
,,Winning Trades,146,,,,Total Trades,182,,,
,,Win Rate,80.22%,,,,Losing Trades,36,,,
,,Net P&L,"-58,992.37",,,,Gross P&L,"-58,992.35",,,
,,Best Trade,"6,756.41",,,,Profit Factor,0.86,,,
,,Initial Capital,"100,000.00",,,,Worst Trade,"-24,351.10",,,
,,Return %,-58.99%,,,,Final Capital,"41,007.63",,,
,,,,,,,,,,,
,,,,,,,,,,,
,DETAILED TRADES LOG,,,,,,,,,,
,#,Entry Time,Exit Time,Entry Price,Exit Price,Qty,Gross PnL,Commission,Net PnL,Exit Reason,Duration (min)
,1,2025-10-28 09:30:08,2025-10-28 09:32:57,63.8,48,1500,-23700,46.04,-23746.04,Stop Loss,2
,2,2025-10-28 09:36:59,2025-10-28 09:41:01,42.8,47.85,675,3408.75,20.65,3388.1,Take Profit 1,4
,3,2025-10-28 09:36:59,2025-10-28 09:41:12,42.8,42.9,1050,105,28.8,76.2,Trailing Stop,4
,4,2025-10-28 09:44:59,2025-10-28 09:48:09,43.7,49.3,675,3780,21.28,3758.72,Take Profit 1,3
,5,2025-10-28 09:44:59,2025-10-28 09:48:28,43.7,44.3,1125,675,31.87,643.13,Trailing Stop,3
,6,2025-10-28 09:49:11,2025-10-28 09:50:15,46.75,51.85,675,3442.5,22.38,3420.12,Take Profit 1,1
,7,2025-10-28 09:49:11,2025-10-28 09:50:55,46.75,49.8,1050,3202.5,33.43,3169.07,Trailing Stop,1
,8,2025-10-28 09:52:11,2025-10-28 09:52:58,51.8,57.45,675,3813.75,24.8,3788.95,Take Profit 1,0
,9,2025-10-28 09:52:11,2025-10-28 09:53:01,51.8,64,450,5490,18.41,5471.59,Take Profit 2,0
,10,2025-10-28 09:52:11,2025-10-28 09:53:17,51.8,72.6,300,6240,13.93,6226.07,Take Profit 3,1
,11,2025-10-28 09:52:11,2025-10-28 09:53:23,51.8,67.95,300,4845,13.03,4831.97,Trailing Stop,1
,12,2025-10-28 09:53:40,2025-10-28 09:56:34,71.55,77.2,600,3390,29.62,3360.38,Take Profit 1,2
,13,2025-10-28 09:53:40,2025-10-28 09:56:57,71.55,71.95,900,360,41.4,318.6,Trailing Stop,3
,14,2025-10-28 10:00:02,2025-10-28 10:00:12,71.25,77.9,600,3990,29.89,3960.11,Take Profit 1,0
,15,2025-10-28 10:00:02,2025-10-28 10:00:22,71.25,73.35,975,2047.5,45.73,2001.77,Trailing Stop,0
,16,2025-10-28 10:00:52,2025-10-28 10:01:42,75.45,83.55,600,4860,32.05,4827.95,Take Profit 1,0
,17,2025-10-28 10:00:52,2025-10-28 10:01:45,75.45,87.75,450,5535,25.25,5509.75,Take Profit 2,0
,18,2025-10-28 10:00:52,2025-10-28 10:02:17,75.45,86.65,525,5880,29.09,5850.91,Trailing Stop,1
,19,2025-10-28 10:02:24,2025-10-28 10:04:33,88.8,94.15,600,3210,36.12,3173.88,Take Profit 1,2
,20,2025-10-28 10:02:24,2025-10-28 10:05:06,88.8,92.9,900,3690,53.46,3636.54,Trailing Stop,2
,21,2025-10-28 10:05:12,2025-10-28 10:05:36,96.2,101.6,525,2835,34.11,2800.89,Take Profit 1,0
,22,2025-10-28 10:05:12,2025-10-28 10:05:42,96.2,108.95,375,4781.25,26.12,4755.13,Take Profit 2,0
,23,2025-10-28 10:05:12,2025-10-28 10:05:59,96.2,116.55,225,4578.75,16.77,4561.98,Take Profit 3,0
,24,2025-10-28 10:05:12,2025-10-28 10:06:24,96.2,110.55,300,4305,21.21,4283.79,Trailing Stop,1
,25,2025-10-28 10:06:36,2025-10-28 10:07:44,113.7,119,525,2782.5,39.95,2742.55,Take Profit 1,1
,26,2025-10-28 10:06:36,2025-10-28 10:08:31,113.7,119.2,825,4537.5,62.88,4474.62,Trailing Stop,1
,27,2025-10-28 10:10:19,2025-10-28 10:12:26,121.95,126.95,525,2625,42.62,2582.38,Take Profit 1,2
,28,2025-10-28 10:10:19,2025-10-28 10:12:40,121.95,127.3,825,4413.75,67.15,4346.6,Trailing Stop,2
,29,2025-10-28 10:17:49,2025-10-28 10:20:03,119.2,124.55,525,2808.75,41.81,2766.94,Take Profit 1,2
,30,2025-10-28 10:17:49,2025-10-28 10:20:49,119.2,125,900,5220,71.93,5148.07,Trailing Stop,2
,31,2025-10-28 10:21:27,2025-10-28 10:22:59,128.1,113.05,1350,-20317.5,97.58,-20415.08,Stop Loss,1
,32,2025-10-28 10:24:02,2025-10-28 10:24:15,120.15,125.6,450,2452.5,36.14,2416.36,Take Profit 1,0
,33,2025-10-28 10:24:02,2025-10-28 10:24:47,120.15,119.5,825,-536.25,63.04,-599.29,Trailing Stop,0
,34,2025-10-28 10:26:49,2025-10-28 10:27:19,122.75,128.1,450,2407.5,36.86,2370.64,Take Profit 1,0
,35,2025-10-28 10:26:49,2025-10-28 10:27:53,122.75,126.35,825,2970,66.65,2903.35,Trailing Stop,1
,36,2025-10-28 10:31:18,2025-10-28 10:31:49,119.95,125.85,525,3097.5,42.25,3055.25,Take Profit 1,0
,37,2025-10-28 10:31:18,2025-10-28 10:31:58,119.95,137.55,375,6600,32.98,6567.02,Take Profit 2,0
,38,2025-10-28 10:31:18,2025-10-28 10:32:01,119.95,141.55,225,4860,20.36,4839.64,Take Profit 3,0
,39,2025-10-28 10:31:18,2025-10-28 10:32:09,119.95,136.25,225,3667.5,19.6,3647.9,Trailing Stop,0
,40,2025-10-28 10:32:40,2025-10-28 10:32:52,138.9,143.9,450,2250,41.4,2208.6,Take Profit 1,0
,41,2025-10-28 10:32:40,2025-10-28 10:32:58,138.9,141.2,825,1897.5,74.48,1823.02,Trailing Stop,0
,42,2025-10-28 10:36:52,2025-10-28 10:39:25,137.1,143.5,525,3360,48.17,3311.83,Take Profit 1,2
,43,2025-10-28 10:36:52,2025-10-28 10:39:51,137.1,142.6,825,4537.5,75.22,4462.28,Trailing Stop,2
,44,2025-10-28 10:40:40,2025-10-28 10:42:52,144.8,129.55,1350,-20587.5,111.83,-20699.33,Stop Loss,2
,45,2025-10-28 10:44:58,2025-10-28 10:50:36,127.25,132.8,525,2913.75,44.58,2869.17,Take Profit 1,5
,46,2025-10-28 10:44:58,2025-10-28 10:51:11,127.25,129.1,825,1526.25,68.1,1458.15,Trailing Stop,6
,47,2025-10-28 10:51:24,2025-10-28 10:51:56,132.8,140,525,3780,47,3733,Take Profit 1,0
,48,2025-10-28 10:51:24,2025-10-28 10:52:05,132.8,135.2,825,1980,71.32,1908.68,Trailing Stop,0
,49,2025-10-28 10:53:59,2025-10-28 10:54:02,137.45,143.4,525,3123.75,48.14,3075.61,Take Profit 1,0
,50,2025-10-28 10:53:59,2025-10-28 10:55:29,137.45,149.7,375,4593.75,35.89,4557.86,Take Profit 2,1
,51,2025-10-28 10:53:59,2025-10-28 10:56:05,137.45,145.8,450,3757.5,41.95,3715.55,Trailing Stop,2
,52,2025-10-28 10:59:08,2025-10-28 11:01:34,142.85,148.6,525,3018.75,49.88,2968.87,Take Profit 1,2
,53,2025-10-28 10:59:08,2025-10-28 11:01:53,142.85,143.5,825,536.25,75.7,460.55,Trailing Stop,2
,54,2025-10-28 11:02:22,2025-10-28 11:03:27,145.8,154.4,525,4515,51.83,4463.17,Take Profit 1,1
,55,2025-10-28 11:02:22,2025-10-28 11:03:33,145.8,159.55,375,5156.25,38.26,5117.99,Take Profit 2,1
,56,2025-10-28 11:02:22,2025-10-28 11:04:12,145.8,165.8,225,4500,23.85,4476.15,Take Profit 3,1
