trade_num,entry_time,exit_time,exit_reason,applied_sl_pts,actual_pnl,simulated_pnl,savings,regression_active
1,2025-10-01 09:17:24,2025-10-01 09:17:57,Take Profit 1,15.0,817.77,817.77,0.0,False
2,2025-10-01 09:17:24,2025-10-01 09:26:06,Trailing Stop,15.0,529.6,529.6,0.0,False
3,2025-10-01 09:26:43,2025-10-01 09:29:40,Take Profit 1,10.0,742.2,742.2,0.0,True
4,2025-10-01 09:26:43,2025-10-01 09:31:58,Trailing Stop,15.0,1192.0,1192.0,0.0,False
5,2025-10-01 09:33:57,2025-10-01 09:34:23,Take Profit 1,10.0,771.21,771.21,0.0,True
6,2025-10-01 09:33:57,2025-10-01 09:42:25,Take Profit 2,15.0,899.03,899.03,0.0,False
7,2025-10-01 09:33:57,2025-10-01 09:43:59,Take Profit 3,15.0,1506.14,1506.14,0.0,False
8,2025-10-01 09:33:57,2025-10-01 09:45:01,Trailing Stop,15.0,1554.86,1554.86,0.0,False
9,2025-10-01 09:45:18,2025-10-01 09:48:26,Take Profit 1,10.0,813.88,813.88,0.0,True
10,2025-10-01 09:45:18,2025-10-01 09:50:13,Trailing Stop,15.0,692.41,692.41,0.0,False
11,2025-10-01 09:54:40,2025-10-01 09:55:19,Take Profit 1,10.0,799.87,799.87,0.0,True
12,2025-10-01 09:54:40,2025-10-01 10:03:19,Stop Loss,15.0,-3971.88,-3971.88,0.0,False
13,2025-10-01 10:08:05,2025-10-01 10:08:10,Take Profit 1,10.0,862.34,862.34,0.0,True
14,2025-10-01 10:08:05,2025-10-01 10:30:46,Take Profit 2,15.0,892.13,892.13,0.0,False
15,2025-10-01 10:08:05,2025-10-01 10:31:36,Take Profit 3,15.0,1851.51,1851.51,0.0,False
16,2025-10-01 10:08:05,2025-10-01 10:31:39,Trailing Stop,15.0,2923.52,2923.52,0.0,False
17,2025-10-01 10:31:51,2025-10-01 10:32:11,Take Profit 1,10.0,950.11,950.11,0.0,True
18,2025-10-01 10:31:51,2025-10-01 10:32:44,Trailing Stop,15.0,638.17,638.17,0.0,False
19,2025-10-01 10:32:57,2025-10-01 10:40:01,Stop Loss,10.0,-5758.94,-3839.293333333333,1919.6466666666665,True
20,2025-10-01 11:01:11,2025-10-01 11:03:16,Take Profit 1,15.0,763.26,763.26,0.0,False
21,2025-10-01 11:01:11,2025-10-01 11:04:30,Trailing Stop,15.0,672.69,672.69,0.0,False
22,2025-10-01 11:08:28,2025-10-01 11:09:12,Take Profit 1,10.0,740.09,740.09,0.0,True
23,2025-10-01 11:08:28,2025-10-01 11:12:47,Take Profit 2,15.0,965.91,965.91,0.0,False
24,2025-10-01 11:08:28,2025-10-01 11:14:03,Trailing Stop,15.0,1534.58,1534.58,0.0,False
25,2025-10-01 11:14:29,2025-10-01 11:15:02,Take Profit 1,10.0,753.67,753.67,0.0,True
26,2025-10-01 11:14:29,2025-10-01 11:15:25,Take Profit 2,15.0,1013.93,1013.93,0.0,False
27,2025-10-01 11:14:29,2025-10-01 11:16:33,Take Profit 3,15.0,1519.85,1519.85,0.0,False
28,2025-10-01 11:14:29,2025-10-01 11:17:52,Trailing Stop,15.0,1156.34,1156.34,0.0,False
29,2025-10-01 11:19:19,2025-10-01 11:20:46,Take Profit 1,10.0,729.05,729.05,0.0,True
30,2025-10-01 11:19:19,2025-10-01 11:31:11,Take Profit 2,15.0,930.41,930.41,0.0,False
31,2025-10-01 11:19:19,2025-10-01 11:33:36,Take Profit 3,15.0,1500.05,1500.05,0.0,False
32,2025-10-01 11:19:19,2025-10-01 11:34:49,Trailing Stop,15.0,1331.41,1331.41,0.0,False
33,2025-10-01 11:42:17,2025-10-01 11:42:45,Take Profit 1,10.0,719.31,719.31,0.0,True
34,2025-10-01 11:42:17,2025-10-01 11:43:25,Take Profit 2,15.0,884.32,884.32,0.0,False
35,2025-10-01 11:42:17,2025-10-01 11:44:36,Take Profit 3,15.0,1487.68,1487.68,0.0,False
36,2025-10-01 11:42:17,2025-10-01 11:45:20,Trailing Stop,15.0,1746.27,1746.27,0.0,False
37,2025-10-01 11:45:54,2025-10-01 11:48:20,Take Profit 1,10.0,358.26,358.26,0.0,True
38,2025-10-01 11:45:54,2025-10-01 11:56:41,Take Profit 2,15.0,882.93,882.93,0.0,False
39,2025-10-01 11:45:54,2025-10-01 11:57:06,Take Profit 3,15.0,1535.01,1535.01,0.0,False
40,2025-10-01 11:45:54,2025-10-01 11:57:29,Trailing Stop,15.0,1149.01,1149.01,0.0,False
41,2025-10-01 11:59:12,2025-10-01 11:59:55,Take Profit 1,10.0,432.3,432.3,0.0,True
42,2025-10-01 11:59:12,2025-10-01 12:04:58,Take Profit 2,15.0,882.02,882.02,0.0,False
43,2025-10-01 11:59:12,2025-10-01 12:06:24,Trailing Stop,15.0,1801.51,1801.51,0.0,False
44,2025-10-01 12:10:34,2025-10-01 12:10:57,Take Profit 1,10.0,372.08,372.08,0.0,True
45,2025-10-01 12:10:34,2025-10-01 12:12:02,Take Profit 2,15.0,881.75,881.75,0.0,False
46,2025-10-01 12:10:34,2025-10-01 12:12:15,Trailing Stop,15.0,969.01,969.01,0.0,False
47,2025-10-01 12:16:45,2025-10-01 12:18:47,Stop Loss,10.0,-4614.06,-3076.04,1538.0200000000004,True
48,2025-10-01 12:48:19,2025-10-01 12:58:23,Stop Loss,15.0,-5739.35,-5739.35,0.0,False
49,2025-10-01 14:07:10,2025-10-01 14:09:34,Take Profit 1,15.0,398.66,398.66,0.0,False
50,2025-10-01 14:07:10,2025-10-01 14:10:34,Trailing Stop,15.0,1004.87,1004.87,0.0,False
